date,negative,neutral,positive
2010-11-01,14,307,73
2010-11-02,46,497,98
2010-11-03,30,407,81
2010-11-04,28,521,95
2010-11-05,12,284,50
2010-11-06,0,6,3
2010-11-07,3,4,3
2010-11-08,25,371,92
2010-11-09,46,412,87
2010-11-10,40,355,70
2010-11-11,48,320,106
2010-11-12,38,262,58
2010-11-13,2,8,7
2010-11-14,1,5,1
2010-11-15,29,367,89
2010-11-16,22,385,82
2010-11-17,58,421,76
2010-11-18,59,590,130
2010-11-19,54,432,97
2010-11-20,5,15,2
2010-11-21,4,28,11
2010-11-22,72,541,139
2010-11-23,52,557,121
2010-11-24,54,404,99
2010-11-25,0,14,6
2010-11-26,34,217,42
2010-11-27,4,22,0
2010-11-28,0,18,6
2010-11-29,61,410,90
2010-11-30,64,507,110
2010-12-01,54,464,124
2010-12-02,56,483,115
2010-12-03,44,446,93
2010-12-04,4,5,2
2010-12-05,0,44,16
2010-12-06,44,576,132
2010-12-07,50,467,107
2010-12-08,40,553,137
2010-12-09,60,565,118
2010-12-10,75,474,90
2010-12-11,4,17,2
2010-12-12,0,20,8
2010-12-13,41,545,128
2010-12-14,50,464,148
2010-12-15,50,563,122
2010-12-16,69,590,102
2010-12-17,50,446,84
2010-12-18,3,21,10
2010-12-19,0,18,2
2010-12-20,68,532,149
2010-12-21,52,561,119
2010-12-22,54,583,95
2010-12-23,53,402,107
2010-12-24,1,15,1
2010-12-25,5,0,0
2010-12-26,0,27,3
2010-12-27,63,332,88
2010-12-28,39,341,99
2010-12-29,38,439,119
2010-12-30,27,387,128
2010-12-31,14,194,67
2011-01-01,3,4,1
2011-01-02,3,23,5
2011-01-03,60,430,115
2011-01-04,65,426,157
2011-01-05,66,468,145
2011-01-06,54,557,125
2011-01-07,47,442,119
2011-01-08,2,9,0
2011-01-09,4,31,9
2011-01-10,73,586,110
2011-01-11,79,559,137
2011-01-12,43,536,111
2011-01-13,53,546,128
2011-01-14,63,480,97
2011-01-15,3,2,7
2011-01-16,1,18,0
2011-01-17,22,157,40
2011-01-18,48,579,166
2011-01-19,57,558,81
